YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_ARR_DELAY,DIV_DISTANCE,DIV1_AIRPORT,DIV1_AIRPORT_ID,DIV1_AIRPORT_SEQ_ID,DIV1_WHEELS_ON,DIV1_TOTAL_GTIME,DIV1_LONGEST_GTIME,DIV1_WHEELS_OFF,DIV1_TAIL_NUM,DIV2_AIRPORT,DIV2_AIRPORT_ID,DIV2_AIRPORT_SEQ_ID,DIV2_WHEELS_ON,DIV2_TOTAL_GTIME,DIV2_LONGEST_GTIME,DIV2_WHEELS_OFF,DIV2_TAIL_NUM,DIV3_AIRPORT,DIV3_AIRPORT_ID,DIV3_AIRPORT_SEQ_ID,DIV3_WHEELS_ON,DIV3_TOTAL_GTIME,DIV3_LONGEST_GTIME,DIV3_WHEELS_OFF,DIV3_TAIL_NUM,DIV4_AIRPORT,DIV4_AIRPORT_ID,DIV4_AIRPORT_SEQ_ID,DIV4_WHEELS_ON,DIV4_TOTAL_GTIME,DIV4_LONGEST_GTIME,DIV4_WHEELS_OFF,DIV4_TAIL_NUM,DIV5_AIRPORT,DIV5_AIRPORT_ID,DIV5_AIRPORT_SEQ_ID,DIV5_WHEELS_ON,DIV5_TOTAL_GTIME,DIV5_LONGEST_GTIME,DIV5_WHEELS_OFF,DIV5_TAIL_NUM
2021,1,1,5,2,1/5/2021,OO,20304,OO,N283SY,3716,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,1058,1043,-15,0,0,-1,1000-1059,14,1057,1234,5,1314,1239,-35,0,0,-2,1300-1359,0,,0,136,116,97,1,679,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,1,1/11/2021,OO,20304,OO,N283SY,4085,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,1441,1435,-6,0,0,-1,1400-1459,9,1444,1647,4,1707,1651,-16,0,0,-2,1700-1759,0,,0,86,76,63,1,370,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,5,2,1/5/2021,OO,20304,OO,N269SY,3717,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,15376,1537604,30436,TUS,"Tucson, AZ",AZ,4,Arizona,81,1001,951,-10,0,0,-1,1000-1059,9,1000,1206,4,1232,1210,-22,0,0,-2,1200-1259,0,,0,91,79,66,1,451,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,1,1/11/2021,OO,20304,OO,N803SK,4086,10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,1515,1511,-4,0,0,-1,1500-1559,60,1611,1822,8,1758,1830,32,32,1,2,1700-1759,0,,0,103,139,71,1,456,2,32,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,5,2,1/5/2021,OO,20304,OO,N240SY,3718,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,1418,1411,-7,0,0,-1,1400-1459,12,1423,1720,3,1735,1723,-12,0,0,-1,1700-1759,0,,0,137,132,117,1,866,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,1,1/11/2021,OO,20304,OO,N803SK,4086,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54,1250,1248,-2,0,0,-1,1200-1259,25,1313,1327,8,1341,1335,-6,0,0,-1,1300-1359,0,,0,111,107,74,1,456,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,5,2,1/5/2021,OO,20304,OO,N805SK,3719,10627,1062702,30627,BIS,"Bismarck/Mandan, ND",ND,38,North Dakota,66,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,1245,1237,-8,0,0,-1,1200-1259,14,1251,1348,2,1416,1350,-26,0,0,-2,1400-1459,0,,0,91,73,57,1,386,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,1,1/11/2021,OO,20304,OO,N291SY,4089,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,10713,1071302,30713,BOI,"Boise, ID",ID,16,Idaho,83,2135,2131,-4,0,0,-1,2100-2159,16,2147,2342,3,2359,2345,-14,0,0,-1,2300-2359,0,,0,84,74,55,1,399,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,5,2,1/5/2021,OO,20304,OO,N805SK,3719,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,10627,1062702,30627,BIS,"Bismarck/Mandan, ND",ND,38,North Dakota,66,1015,1011,-4,0,0,-1,1000-1059,20,1031,1138,5,1154,1143,-11,0,0,-1,1100-1159,0,,0,99,92,67,1,386,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,1,1/11/2021,OO,20304,OO,N291SY,4119,13264,1326403,33264,MFR,"Medford, OR",OR,41,Oregon,92,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,705,701,-4,0,0,-1,0700-0759,10,711,810,8,845,818,-27,0,0,-2,0800-0859,0,,0,100,77,59,1,352,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
