"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"02176099999","2003-01-03T16:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-2","2","","|SN |","","","85","FEW:01 5 SCT:03 11 BKN:05 16","","","10.56","","350","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  03151 02176 27367 /3505 11168 21187 77177 333 69905 81/05 83/11 85/16 87/32;","","","","","","","","","",""
"02176099999","2003-01-03T19:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-3","0","","","","","85","","","","13.05","","350","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  03181 02176 17/71 /3504 11178 21197 69902 70087 333 11127 21187;","","","","","","","","","",""
"02176099999","2003-01-03T22:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","0","3","","|SN |","","","86","OVC:08 12","","","3.11","","330","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN064AAXX  03211 02176 27450 /3302 11160 21178 77187 333 69905 88/12;","","","","","","","","","",""
"02176099999","2003-01-04T01:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-4","0","T","|SN |","","","83","OVC:08 11","","","0.81","","290","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  04001 02176 07413 /2902 11176 21198 69901 77187 333 69905 88/11;","","","","","","","","","",""
"02176099999","2003-01-04T04:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-8","-3","","","","","82","OVC:08 10","","","11.18","","290","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN064AAXX  04031 02176 27368 /2902 11197 21220 78587 333 69905 88/10;","","","","","","","","","",""
"02176099999","2003-01-04T07:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-17","-11","","","","","77","FEW:01 8","","","24.85","","260","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN094AAXX  04061 02176 07/82 /2601 11241 21270 69902 78587 333 11160 21251 69905 70000 81/08 83/13;","","","","","","","","","",""
"02176099999","2003-01-04T10:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-24","-18","","","","","73","","","","31.07","","210","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN048AAXX  04091 02176 37999 /2101 11275 21309 70087;","","","","","","","","","",""
"02176099999","2003-01-04T13:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-21","-16","","","","","76","","","","31.07","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN054AAXX  04121 02176 17999 /0000 11267 21297 69901 70087;","","","","","","","","","",""
"02176099999","2003-01-04T16:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-24","-18","","","","","74","","","","31.07","","360","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN042AAXX  04151 02176 35999 /3601 11279 21311;","","","","","","","","","",""
"02176099999","2003-01-04T19:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-28","-22","","","","","71","","","","31.07","","340","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN064AAXX  04181 02176 15999 /3402 11298 21334 69902 333 11240 21299;","","","","","","","","","",""
"02176099999","2003-01-04T22:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-25","-19","","","","","73","OVC:08 8","","","11.18","","340","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN052AAXX  04211 02176 35368 /3403 11281 21315 333 88/08;","","","","","","","","","",""
"02176099999","2003-01-05T01:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-17","-12","","|HZ |","","","77","BKN:05 6","","","4.97","","350","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  05001 02176 17358 /3503 11245 21274 69901 70471 333 85/06 88/09;","","","","","","","","","",""
"02176099999","2003-01-05T04:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-15","-10","","","","","79","OVC:08 9","","","","","340","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN058AAXX  05031 02176 373// /3404 11233 21260 70010 333 88/09;","","","","","","","","","",""
"02176099999","2003-01-05T07:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-18","-12","","","","","76","BKN:07 13","","","6.84","","330","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN088AAXX  05061 02176 17461 /3304 11246 21277 69902 70071 333 11232 21302 70000 87/13 88/18;","","","","","","","","","",""
"02176099999","2003-01-05T10:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-19","-14","","","","","76","BKN:05 12","","","6.21","","340","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN052AAXX  05091 02176 35460 /3401 11253 21283 333 85/12;","","","","","","","","","",""
"02176099999","2003-01-05T13:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-19","-14","","","","","76","","","","9.94","","320","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN042AAXX  05121 02176 35/66 /3202 11253 21283;","","","","","","","","","",""
"02176099999","2003-01-05T16:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-24","-18","","","","","72","","","","12.43","","330","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN042AAXX  05151 02176 35970 /3302 11278 21313;","","","","","","","","","",""
"02176099999","2003-01-05T19:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-27","-21","","","","","72","","","","27.96","","310","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN058AAXX  05181 02176 35983 /3102 11292 21327 333 11245 21314;","","","","","","","","","",""
"02176099999","2003-01-05T22:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-29","-23","","","","","71","SCT:03 4","","","13.67","","350","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN052AAXX  05211 02176 35172 /3502 11305 21340 333 83/04;","","","","","","","","","",""
